iter	Passed	Remaining
297	854	1869
298	856	1865
299	858	1860
300	860	1856
301	863	1851
302	865	1847
303	867	1843
304	869	1838
305	871	1835
306	874	1831
307	876	1827
308	879	1823
309	881	1820
310	883	1815
311	886	1811
312	888	1807
313	890	1803
314	892	1798
315	894	1794
316	897	1791
317	899	1787
318	901	1782
319	903	1778
320	906	1775
321	908	1771
322	910	1768
323	913	1764
324	915	1760
325	918	1757
326	920	1753
327	922	1749
328	924	1745
329	927	1741
330	929	1737
331	931	1733
332	933	1730
333	936	1727
334	938	1723
335	940	1719
336	942	1715
337	945	1711
338	947	1707
339	949	1703
340	951	1699
341	953	1695
342	955	1691
343	958	1687
344	960	1683
345	962	1679
346	964	1675
347	966	1672
348	968	1668
349	971	1664
350	973	1660
351	975	1657
352	977	1653
353	980	1649
354	982	1646
355	984	1643
356	987	1639
357	989	1636
358	992	1633
359	994	1629
360	997	1627
361	999	1623
362	1001	1619
363	1003	1615
364	1005	1612
365	1008	1608
366	1010	1604
367	1012	1601
368	1014	1597
369	1016	1594
370	1019	1590
371	1021	1586
372	1023	1583
373	1025	1580
374	1028	1576
375	1030	1572
376	1032	1569
377	1034	1566
378	1037	1562
379	1039	1559
380	1041	1556
381	1044	1552
382	1046	1549
383	1048	1545
384	1050	1542
385	1053	1538
386	1055	1535
387	1057	1531
388	1060	1528
389	1062	1525
390	1064	1522
391	1067	1518
392	1069	1515
393	1071	1512
394	1073	1508
395	1075	1504
396	1077	1501
397	1080	1497
398	1082	1494
399	1084	1491
400	1086	1488
401	1089	1484
402	1091	1481
403	1093	1478
404	1095	1474
405	1098	1471
406	1100	1468
407	1102	1464
408	1105	1461
409	1107	1458
410	1109	1455
411	1111	1452
412	1114	1448
413	1116	1445
414	1118	1442
415	1121	1439
416	1124	1436
417	1126	1433
418	1128	1430
419	1130	1426
420	1132	1423
421	1135	1420
422	1137	1416
423	1139	1413
424	1142	1410
425	1144	1407
426	1146	1404
427	1149	1401
428	1151	1398
429	1153	1395
430	1155	1391
431	1158	1388
432	1160	1385
433	1163	1382
434	1165	1379
435	1167	1376
436	1169	1372
437	1171	1369
438	1173	1366
439	1176	1363
440	1178	1360
441	1180	1357
442	1182	1353
443	1185	1350
444	1187	1347
445	1190	1344
446	1192	1341
447	1194	1338
448	1196	1335
449	1198	1331
450	1201	1329
451	1203	1325
452	1205	1322
453	1207	1319
454	1210	1316
455	1212	1313
456	1214	1310
457	1216	1307
458	1219	1304
459	1221	1301
460	1224	1298
461	1226	1295
462	1229	1292
463	1231	1289
464	1233	1286
465	1235	1283
466	1237	1280
467	1240	1277
468	1242	1274
469	1244	1270
470	1246	1267
471	1249	1265
472	1251	1261
473	1253	1258
474	1255	1255
475	1257	1252
476	1260	1249
477	1262	1246
478	1264	1243
479	1266	1240
480	1269	1237
481	1271	1234
482	1273	1231
483	1275	1228
484	1277	1225
485	1279	1221
486	1281	1218
487	1284	1215
488	1286	1212
489	1289	1210
490	1291	1207
491	1293	1203
492	1295	1200
493	1297	1197
494	1300	1195
495	1302	1192
496	1304	1188
497	1306	1185
498	1308	1182
499	1310	1179
500	1313	1176
501	1315	1173
502	1318	1171
503	1320	1168
504	1323	1165
505	1325	1162
506	1327	1160
507	1329	1157
508	1331	1153
509	1334	1151
510	1336	1148
511	1338	1145
512	1340	1142
513	1343	1139
514	1345	1136
515	1347	1133
516	1350	1130
517	1352	1127
518	1355	1125
519	1357	1122
520	1359	1119
521	1362	1116
522	1364	1113
523	1366	1111
524	1369	1108
525	1371	1105
526	1373	1102
527	1375	1099
528	1377	1096
529	1379	1093
530	1382	1090
531	1384	1087
532	1386	1084
533	1389	1082
534	1391	1079
535	1393	1076
536	1395	1073
537	1398	1070
538	1400	1067
539	1402	1064
540	1404	1061
541	1406	1059
542	1408	1055
543	1411	1053
544	1413	1050
545	1415	1047
546	1418	1044
547	1420	1041
548	1422	1039
549	1425	1036
550	1427	1033
551	1429	1030
552	1431	1027
553	1433	1024
554	1435	1021
555	1437	1018
556	1440	1016
557	1442	1013
558	1444	1010
559	1446	1007
560	1449	1004
561	1451	1001
562	1453	999
563	1456	996
564	1458	993
565	1460	990
566	1462	988
567	1465	985
568	1467	982
569	1469	979
570	1472	977
571	1474	974
572	1476	971
573	1478	968
574	1481	965
575	1483	963
576	1485	960
577	1487	957
578	1490	955
579	1493	952
580	1495	950
581	1498	947
582	1500	944
583	1502	941
584	1504	938
585	1506	936
586	1509	933
587	1511	930
588	1513	927
589	1515	924
590	1517	921
591	1519	918
592	1521	916
593	1524	913
594	1526	910
595	1528	907
596	1530	904
597	1532	902
598	1534	899
599	1536	896
600	1539	893
601	1541	890
602	1543	888
603	1545	885
604	1547	882
605	1550	879
606	1552	877
607	1554	874
608	1556	871
609	1558	868
610	1560	866
611	1563	863
612	1565	860
613	1567	857
614	1569	855
615	1571	852
616	1573	849
617	1576	846
618	1578	843
619	1580	841
620	1582	838
621	1585	835
622	1587	833
623	1589	830
624	1591	827
625	1593	824
626	1596	822
627	1598	819
628	1601	817
629	1603	814
630	1605	811
631	1607	808
632	1609	806
633	1611	803
634	1614	800
635	1616	798
636	1618	795
637	1621	792
638	1623	790
639	1625	787
640	1628	784
641	1630	782
642	1632	779
643	1634	776
644	1636	774
645	1639	771
646	1641	768
647	1643	765
648	1645	763
649	1647	760
650	1649	757
651	1651	755
652	1654	752
653	1656	749
654	1658	747
655	1662	745
656	1664	742
657	1667	739
658	1669	737
659	1671	734
660	1673	731
661	1676	729
662	1678	726
663	1680	723
664	1682	721
665	1685	718
666	1686	715
667	1689	713
668	1691	710
669	1693	707
670	1695	705
671	1698	702
672	1700	699
673	1702	697
674	1704	694
675	1706	691
676	1708	689
677	1711	686
678	1714	684
679	1716	681
680	1719	679
681	1722	676
682	1724	674
683	1727	671
684	1729	669
685	1731	666
686	1733	663
687	1735	661
688	1738	658
689	1740	655
690	1742	653
691	1745	650
692	1747	648
693	1749	645
694	1751	642
695	1753	640
696	1756	637
697	1758	634
698	1760	632
699	1763	629
700	1765	627
701	1767	624
702	1769	621
703	1771	619
704	1774	616
705	1776	613
706	1778	611
707	1780	608
708	1782	606
709	1784	603
710	1787	600
711	1789	598
712	1791	595
713	1793	592
714	1795	590
715	1797	587
716	1799	584
717	1802	582
718	1804	579
719	1806	577
720	1808	574
721	1810	571
722	1812	569
723	1814	566
724	1817	563
725	1819	561
726	1821	558
727	1823	556
728	1826	553
729	1828	551
730	1830	548
731	1832	545
732	1835	543
733	1837	540
734	1839	538
735	1841	535
736	1843	532
737	1845	530
738	1847	527
739	1850	525
740	1852	522
741	1854	519
742	1856	517
743	1858	514
744	1860	512
745	1863	509
746	1865	506
747	1867	504
748	1869	501
749	1871	499
750	1874	496
751	1876	494
752	1878	491
753	1880	488
754	1882	486
755	1884	483
756	1887	481
757	1889	478
758	1891	476
759	1893	473
760	1896	470
761	1898	468
762	1900	465
763	1902	463
764	1904	460
765	1906	458
766	1909	455
767	1911	452
768	1913	450
769	1916	448
770	1919	445
771	1921	443
772	1923	440
773	1925	437
774	1927	435
775	1930	432
776	1933	430
777	1936	428
778	1941	426
779	1944	423
780	1947	421
781	1950	419
782	1953	416
783	1955	414
784	1958	411
785	1962	409
786	1965	407
787	1968	404
788	1971	402
789	1975	400
790	1978	397
791	1980	395
792	1983	392
793	1985	390
794	1987	387
795	1989	384
796	1991	382
797	1994	379
798	1996	377
799	2000	375
800	2004	372
801	2017	372
802	2028	371
803	2032	369
804	2037	366
805	2039	364
806	2041	361
807	2045	359
808	2049	357
809	2053	354
810	2055	352
811	2058	349
812	2061	347
813	2064	344
814	2068	342
815	2071	340
816	2076	338
817	2079	335
818	2083	333
819	2086	330
820	2089	328
821	2092	325
822	2094	323
823	2096	320
824	2099	318
825	2101	315
826	2104	312
827	2107	310
828	2110	307
829	2113	305
830	2115	302
831	2118	300
832	2120	297
833	2123	295
834	2126	292
835	2129	290
836	2132	287
837	2134	285
838	2137	282
839	2139	280
840	2142	277
841	2144	275
842	2146	272
843	2149	269
844	2151	267
845	2154	264
846	2156	262
847	2158	259
848	2161	257
849	2163	254
850	2165	251
851	2168	249
852	2170	246
853	2172	244
854	2175	241
855	2177	239
856	2180	236
857	2182	234
858	2185	231
859	2188	229
860	2190	226
861	2193	223
862	2195	221
863	2199	218
864	2202	216
865	2205	213
866	2208	211
867	2211	208
868	2214	206
869	2216	203
870	2219	201
871	2222	198
872	2225	196
873	2227	193
874	2230	191
875	2233	188
876	2237	186
877	2240	183
878	2242	181
879	2245	178
880	2248	176
881	2250	173
882	2253	170
883	2255	168
884	2258	165
885	2261	163
886	2263	160
887	2265	158
888	2267	155
889	2269	153
890	2272	150
891	2275	147
892	2277	145
893	2280	142
894	2283	140
895	2286	137
896	2288	135
897	2291	132
898	2293	130
899	2296	127
900	2299	125
901	2301	122
902	2304	119
903	2306	117
904	2308	114
905	2311	112
906	2314	109
907	2316	107
908	2319	104
909	2321	102
910	2323	99
911	2326	96
912	2328	94
913	2331	91
914	2333	89
915	2336	86
916	2338	84
917	2340	81
918	2342	79
919	2345	76
920	2347	73
921	2350	71
922	2352	68
923	2354	66
924	2356	63
925	2359	61
926	2362	58
927	2365	56
928	2368	53
929	2395	51
930	2398	48
931	2402	46
932	2408	43
933	2412	41
934	2414	38
935	2417	36
936	2420	33
937	2422	30
938	2424	28
939	2427	25
940	2429	23
941	2431	20
942	2433	18
943	2435	15
944	2437	12
945	2440	10
946	2442	7
947	2445	5
948	2448	2
949	2451	0
