iter	RMSE
189	318.8203307
190	318.7342632
191	318.2059992
192	318.1307352
193	317.9271225
194	317.6842524
195	317.5741913
196	316.9697923
197	316.7596286
198	316.2947776
199	316.0854384
200	315.888687
201	315.4583006
202	315.2698683
203	315.0146125
204	314.6742498
205	314.2355514
206	314.066426
207	313.8991346
208	313.8412797
209	313.5561302
210	313.2547498
211	313.0138817
212	312.5229465
213	312.2960056
214	312.1112979
215	311.814694
216	311.6208538
217	311.400515
218	311.1820446
219	310.9800768
220	310.8412577
221	310.7108822
222	310.4647487
223	310.1448241
224	310.0435664
225	309.8117173
226	309.4460506
227	309.2795955
228	309.1312529
229	308.8518358
230	308.6040912
231	308.4208358
232	308.2489011
233	308.1075833
234	307.7204304
235	307.5387168
236	307.2338877
237	306.8132906
238	306.5673675
239	306.3970088
240	306.1749512
241	305.9686847
242	305.8125223
243	305.7318255
244	305.3651666
245	305.2230341
246	305.0683813
247	304.930886
248	304.8137099
249	304.6008624
250	304.428519
251	304.3021785
252	304.2264227
253	304.0715366
254	303.8776854
255	303.7787219
256	303.6317172
257	303.5012624
258	303.3278123
259	303.1716849
260	302.8882409
261	302.5910243
262	302.4655529
263	302.3362608
264	302.0845102
265	301.9558673
266	301.7584796
267	301.614562
268	301.3771309
269	301.3030538
270	301.0557661
271	300.9855531
272	300.8139284
273	300.651662
274	300.5011403
275	300.3268097
276	300.2426668
277	300.1654993
278	299.9911319
279	299.7761175
280	299.4598578
281	299.3670396
282	299.1463588
283	298.8095957
284	298.5844427
285	298.4273027
286	298.3389542
287	298.2621496
288	298.0059492
289	297.9017486
290	297.8203664
291	297.7191215
292	297.5924425
293	297.4674378
294	297.4098731
295	297.2271367
296	296.8895351
297	296.7619477
298	296.6446179
299	296.5229051
300	296.4409625
301	296.2710324
302	296.181141
303	296.1166159
304	295.9283222
305	295.7857746
306	295.6134251
307	295.4412078
308	295.3272917
309	295.2084942
310	295.1049282
311	295.0447935
312	294.9257174
313	294.8469327
314	294.54422
315	294.416312
316	294.2579953
317	294.0170851
318	293.8420963
319	293.6881636
320	293.6186006
321	293.5574222
322	293.489321
323	293.1982334
324	293.0972825
325	292.987681
326	292.9319372
327	292.8005724
328	292.7279
329	292.5809431
330	292.4926372
331	292.3266803
332	292.2508874
333	292.1308335
334	292.0081582
335	291.7899294
336	291.7027711
337	291.6284456
338	291.5198735
339	291.4085251
340	291.256246
341	291.0023186
342	290.8961998
343	290.6628227
344	290.5922329
345	290.4653867
346	290.3558378
347	290.2528848
348	290.0729949
349	289.8734087
350	289.8126396
351	289.6963583
352	289.5570426
353	289.4300246
354	289.2522858
355	289.1009678
356	288.9955791
357	288.9338527
358	288.8208689
359	288.7567581
360	288.672674
361	288.5239611
362	288.4684995
363	288.3696771
364	288.2786981
365	288.1591662
366	288.0357871
367	287.9941194
368	287.9342542
369	287.5969709
370	287.5189472
371	287.4151442
372	287.353067
373	287.2402583
374	286.9943982
375	286.931401
376	286.8528781
377	286.767815
378	286.6740689
379	286.3652249
380	286.3056
381	286.1174572
382	285.8558938
383	285.8032851
384	285.7122656
385	285.622911
386	285.5229194
387	285.4008471
388	285.3564256
389	285.2657843
390	285.2057589
391	285.1571546
392	285.1022415
393	284.9107768
394	284.8261855
395	284.7107989
396	284.4800259
397	284.4407437
398	284.3665185
399	284.2885688
400	284.2388022
401	284.0704239
402	283.9127988
403	283.8197179
404	283.750197
405	283.6000854
406	283.4914751
407	283.4188915
408	283.1852475
409	283.0780425
410	282.9727265
411	282.8147476
412	282.6746258
413	282.5764596
414	282.4391254
415	282.3691746
416	282.2002692
417	282.0816699
418	282.0122844
419	281.9603348
420	281.8488201
421	281.6909802
422	281.4881629
423	281.2957494
424	281.149218
425	281.0555258
426	281.0037014
427	280.9381459
428	280.8521852
429	280.755264
430	280.6910598
431	280.6515332
432	280.5536467
433	280.502731
434	280.4368328
435	280.3371722
436	280.2031105
437	280.1200284
438	279.90671
439	279.857798
440	279.7972417
441	279.6979964
442	279.5952937
443	279.4336491
444	279.2649207
445	279.125053
446	279.0649387
447	279.0055691
448	278.8998085
449	278.7672288
450	278.4536524
451	278.3665546
452	278.215036
453	278.1492882
454	277.9000704
455	277.8260158
456	277.7873029
457	277.7485248
458	277.6594377
459	277.6055717
460	277.4236735
461	277.2829178
462	277.2182568
463	277.1354067
464	277.0579348
465	276.9948497
466	276.9101148
467	276.777563
468	276.6937409
469	276.4662229
470	276.3978679
471	276.3627999
472	276.3103911
473	276.0832169
474	276.0050374
475	275.9647974
476	275.8884109
477	275.6045736
478	275.5681705
479	275.5167637
480	275.462756
481	275.38079
482	275.3230238
483	275.1724685
484	275.1082654
485	275.067917
486	274.9949913
487	274.948225
488	274.8994704
489	274.6820681
490	274.597
491	274.4674849
492	274.4099378
493	274.3235501
494	274.2580105
495	274.1557892
496	273.9731483
497	273.7874339
498	273.6215087
499	273.5697612
500	273.4392827
501	273.3568675
502	273.2956666
503	273.2647743
504	273.1977411
505	273.0806492
506	272.9688773
507	272.885469
508	272.8411779
509	272.7695362
510	272.662561
511	272.5911926
512	272.5485069
513	272.3898977
514	272.2771281
515	272.094241
516	271.9750146
517	271.8427893
518	271.7839101
519	271.7504677
520	271.5962058
521	271.5456053
522	271.42711
523	271.3220609
524	271.1655734
525	271.0628706
526	271.0144086
527	270.8697687
528	270.7811574
529	270.7325681
530	270.6249445
531	270.5539561
532	270.4179716
533	270.2844887
534	270.2268494
535	270.1875441
536	269.9915111
537	269.8591549
538	269.7962993
539	269.7241561
540	269.6600697
541	269.5791893
542	269.550958
543	269.502097
544	269.4038619
545	269.3430536
546	269.3055882
547	269.2354806
548	269.171214
549	269.104128
550	268.9850067
551	268.7548794
552	268.7157107
553	268.5813068
554	268.5235079
555	268.427115
556	268.3884229
557	268.2878149
558	268.2269436
559	268.1329474
560	267.9915309
561	267.9486259
562	267.9442715
563	267.8765197
564	267.8412535
565	267.7240895
566	267.6355322
567	267.5737675
568	267.5340111
569	267.4993586
570	267.4779714
571	267.429715
572	267.3945592
573	267.3270669
574	267.243223
575	267.2146683
576	267.1315655
577	266.9857139
578	266.9100065
579	266.7903002
580	266.7266311
581	266.6601469
582	266.5408861
583	266.3761378
584	266.3275873
585	266.2538594
586	266.1631605
587	266.1128516
588	266.0235021
589	265.8409173
590	265.7759331
591	265.6786617
592	265.595928
593	265.5573362
594	265.4765568
595	265.4357672
596	265.3550063
597	265.3058284
598	265.2188044
599	265.1306043
600	265.0807583
601	264.9998228
602	264.9595662
603	264.8647587
604	264.7792159
605	264.7556388
606	264.7248308
607	264.5871396
608	264.5533922
609	264.2688316
610	264.1752914
611	264.0312551
612	263.993497
613	263.9655653
614	263.8863605
615	263.8690699
616	263.8037056
617	263.6937557
618	263.6893063
619	263.4985501
620	263.4360564
621	263.4020815
622	263.2787388
623	263.0791717
624	263.0079011
625	262.8225889
626	262.6781296
627	262.6020031
628	262.5732304
629	262.472273
630	262.4071683
631	262.3181741
632	262.2966582
633	262.2431866
634	262.1010195
635	262.0066991
636	261.9163944
637	261.832713
638	261.794757
639	261.7477109
640	261.7122208
641	261.634991
642	261.5187191
643	261.491839
644	261.447429
645	261.3884031
646	261.3088446
647	261.1893146
648	261.0675964
649	260.9189486
650	260.785757
651	260.7219206
652	260.6004055
653	260.4020018
654	260.3291
655	260.2851211
656	260.2301147
657	260.1905868
658	260.0450107
659	260.0002405
660	259.9656268
661	259.8824243
662	259.8137101
663	259.742335
664	259.6743212
665	259.6377749
666	259.5481276
667	259.375255
668	259.3573596
669	259.1248955
670	259.0225065
671	258.8225458
672	258.7528974
673	258.6555245
674	258.5931399
675	258.5046891
676	258.4883024
677	258.3964022
678	258.2984497
679	258.2686654
680	258.0990654
681	258.0171853
682	257.9840887
683	257.9279521
684	257.7081729
685	257.6669405
686	257.5971065
687	257.570261
688	257.5015098
689	257.4640699
690	257.3919775
691	257.3065319
692	257.1830515
693	257.1506413
694	257.0502189
695	256.9761697
696	256.9246085
697	256.8976787
698	256.7420743
699	256.5858519
700	256.5008025
701	256.4246754
702	256.3337903
703	256.1948985
704	256.1058866
705	256.0835465
706	256.015402
707	255.953845
708	255.9382104
709	255.8418077
710	255.7932885
711	255.7249642
712	255.6113325
713	255.5574759
714	255.4770817
715	255.41376
716	255.3412155
717	255.2261598
718	255.1615377
719	255.0390447
720	254.9853344
721	254.9241511
722	254.7929612
723	254.7282653
724	254.6819834
725	254.6538221
726	254.6289779
727	254.585171
728	254.5655784
729	254.5043172
730	254.4878347
731	254.4188317
732	254.3010089
733	254.1489108
734	254.1052414
735	253.9802085
736	253.8869679
737	253.8411089
738	253.7901142
739	253.723695
740	253.6831559
741	253.5810272
742	253.5397866
743	253.3876093
744	253.2849435
745	253.2492637
746	253.1607071
747	253.0723913
748	253.040662
749	253.0050516
750	252.9845645
751	252.9051078
752	252.8103846
753	252.7351034
754	252.5984427
755	252.5382016
756	252.4563608
757	252.3076548
758	252.2021032
759	252.102686
760	252.0388109
761	251.9811121
762	251.8643398
763	251.796261
764	251.5939138
765	251.5073554
766	251.3564618
767	251.3380303
768	251.3096815
769	251.1883648
770	251.0879758
771	251.0655779
772	250.9606769
773	250.8905706
774	250.8485465
775	250.676495
776	250.6166978
777	250.5067202
778	250.3927505
779	250.3220403
780	250.2919416
781	250.2562283
782	250.1714097
783	250.1203066
784	250.0328519
785	249.9042146
786	249.864247
787	249.8478645
788	249.7170591
789	249.688958
790	249.6488574
791	249.6111864
792	249.5161299
793	249.4747383
794	249.3517658
795	249.2531488
796	249.1950305
797	249.128782
798	249.085119
799	248.9508655
800	248.9068241
801	248.8419032
802	248.7366915
803	248.6318583
804	248.5670391
805	248.5366076
806	248.4427173
807	248.4141309
808	248.3264898
809	248.2438837
810	248.1518787
811	248.0533003
812	247.9695903
813	247.8906626
814	247.8466405
815	247.8094617
816	247.7342951
817	247.6816572
818	247.6087145
819	247.5574493
820	247.5265923
821	247.4406815
822	247.3953577
823	247.3332719
824	247.263286
825	247.2218154
826	247.1821754
827	247.1252837
828	247.0692508
829	246.976851
830	246.9371369
831	246.9119731
832	246.877559
833	246.7486785
834	246.7260412
835	246.6712151
836	246.5894907
837	246.5424526
838	246.4502373
839	246.4211259
840	246.3203825
841	246.2833589
842	246.1927143
843	246.1177558
844	246.074919
845	246.0107405
846	245.9796585
847	245.9061972
848	245.8229708
849	245.7590938
850	245.7315419
851	245.6991462
852	245.6124825
853	245.5691568
854	245.5105119
855	245.4377431
856	245.379392
857	245.2691099
858	245.227535
859	245.180467
860	245.0862793
861	244.9963716
862	244.9256917
863	244.8972365
864	244.8536017
865	244.7926646
866	244.6967053
867	244.6182536
868	244.5763956
869	244.4629251
870	244.4106296
871	244.3503163
872	244.2892758
873	244.2157076
874	244.1582687
875	244.1186573
876	244.0956826
877	244.0587274
878	244.0342534
879	243.9336939
880	243.9035243
881	243.8813831
882	243.8002235
883	243.7449854
884	243.7099169
885	243.6677583
886	243.6276387
887	243.5417273
888	243.441569
889	243.4251044
890	243.3941886
891	243.3349555
892	243.2331343
893	243.1945917
894	243.1802236
895	243.1425943
896	243.1161699
897	243.0462243
898	242.9302478
899	242.8862952
900	242.8533646
901	242.8283816
902	242.8109706
903	242.7837086
904	242.7199939
905	242.6813828
906	242.5891097
907	242.5613832
908	242.4975965
909	242.4066241
910	242.2903904
911	242.2262043
912	242.1814441
913	242.0802869
914	242.0151655
915	241.9919491
916	241.9492904
917	241.8906081
918	241.8471192
919	241.7966372
920	241.7451511
921	241.6931131
922	241.6729076
923	241.6323422
924	241.6006569
925	241.5535226
926	241.4909917
927	241.4288404
928	241.3439306
929	241.2922047
930	241.2455714
931	241.1675199
932	241.1341432
933	241.0540526
934	241.0287125
935	240.9489015
936	240.9259864
937	240.8825831
938	240.8497881
939	240.7490891
940	240.7151048
941	240.688584
942	240.5332357
943	240.4622192
944	240.448417
945	240.3856067
946	240.3356727
947	240.2882251
948	240.2654021
949	240.2124057
