,Id,제조사,모델명,배지,세부 배지,연식,모델연도,가격,주행거리,연료,변속기,등록 상태,판매 유형,마지막 수정일,판매지역,판매처,차량번호,내차피해,타차가해,소유자변경이력,내차피해금액,타차가해금액,번호판변경이력,전체침수횟수,일부침수횟수,모델 종류
17024,39267130,제네시스,G90,3.8,럭셔리,202104.0,2021,4950.0,33990.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:06:03.000 +09,경기,뉴한길모터스,274저2720,0,1,1,0.0,230.0,0,0,,제네시스
11625,39206928,현대,더 뉴 코나,가솔린 1.6 터보 2WD,스마트,202112.0,2022,1600.0,93324.0,가솔린,오토,ORIGINAL,일반,2025-03-20 10:07:03.000 +09,인천,오토플러스(주),317루2548,1,0,1,29.452,0.0,1,0,,코나
20222,39120993,현대,그랜저 IG,2.4 프리미엄,(세부등급 없음),201911.0,2019,2030.0,60172.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:02:03.000 +09,대구,영남자동차상사,389모2290,0,0,1,0.0,0.0,0,0,,그랜저
7640,39243360,현대,스타리아,L3.5 카고 3인승,모던,202308.0,2023,2999.0,19864.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-20 09:13:02.000 +09,경기,마니카,804마7853,0,1,0,0.0,0.0,0,0,,스타리아
16525,39109954,제네시스,G80,3.3 GDI AWD,럭셔리,201703.0,2017,2020.0,108997.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:14:08.000 +09,경기,에이원모터스,197어9728,3,0,1,119.6838,0.0,1,0,,제네시스
18277,39139887,제네시스,EQ900,3.8 GDI AWD,프리미엄 럭셔리,201606.0,2016,3299.0,85692.0,가솔린,오토,ORIGINAL,일반,2025-03-20 00:40:03.000 +09,경기,(주)빅보스모터스,45마0726,1,1,1,46.415,58.743,0,0,,제네시스
1713,37802814,현대,LF 쏘나타,2.0 스타일,스페셜,201410.0,2015,879.0,104234.0,가솔린,오토,ORIGINAL,일반,2025-03-19 22:01:55.000 +09,충남,신성자동차매매상사,54주2930,2,1,5,155.1502,85.9289,1,0,,쏘나타
3664,38830503,현대,올 뉴 투싼,디젤 2.0 2WD,모던,201606.0,2017,1330.0,83729.0,디젤,오토,ORIGINAL,일반,2025-03-19 23:50:16.000 +09,경기,(주)김포오토파크,36노0390,2,3,0,169.552,351.66,0,0,,투싼
16937,39221036,제네시스,더 뉴 G70 슈팅브레이크,가솔린 2.0T 2WD,(세부등급 없음),202207.0,2023,3399.0,49485.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:07:09.000 +09,대구,M월드 청춘모터스,169저2944,2,1,1,158.3449,162.0804,1,0,,제네시스
25183,36778106,현대,더 뉴 그랜저 IG 하이브리드,르블랑,,202208.0,2023,2516.0,27000.0,가솔린+전기,오토,ORIGINAL,렌트,2025-03-19 16:46:58.000 +09,서울,,157호7978,0,0,0,0.0,0.0,0,0,,그랜저
